Claim_Number,Policy_Number,Customer_ID,Vehicle_Age,IDV,Claim_Amount,Loss_Date,Intimation_Date,Claim_Cause,Garage_ID,Location
CLM0035,POL233,CUST277,7,415201.14999999997,196460.89460361988,2023-02-08 08:07:15,2023-02-11 08:07:15,Fire,GAR011,Bangalore
CLM0036,POL378,CUST057,0,452558.0,210963.4476399095,2024-03-13 21:19:17,2024-03-14 21:19:17,Fire,GAR005,Coimbatore
CLM0037,POL357,CUST244,9,346853.65,298571.4208354515,2023-03-07 14:51:17,2023-03-07 14:51:17,Fire,GAR017,Coimbatore
CLM0038,POL165,CUST565,5,375831.75,305738.889022092,2023-09-22 10:32:58,2023-09-28 10:32:58,Minor Accident,GAR014,Bangalore
CLM0039,POL350,CUST286,3,795721.5499999999,407552.99549443595,2024-01-18 20:08:47,2024-01-19 20:08:47,Fire,GAR034,Chennai
CLM0040,POL187,CUST010,4,728368.0,623281.2326340949,2023-12-18 00:59:10,2023-12-19 00:59:10,Major Accident,GAR040,Coimbatore
CLM0041,POL127,CUST086,6,444256.39999999997,198000.8821643979,2023-08-05 17:41:57,2023-08-13 17:41:57,Minor Accident,GAR008,Bangalore
CLM0042,POL155,CUST104,11,327383.55,134337.613096313,2024-07-06 13:41:40,2024-07-06 13:41:40,Major Accident,GAR022,Chennai
CLM0043,POL280,CUST676,8,194233.19999999998,95635.39241111117,2023-05-26 23:19:07,2023-06-03 23:19:07,Major Accident,GAR047,Madurai
CLM0044,POL309,CUST601,6,409482.5,136057.92016484405,2023-11-27 08:05:25,2023-12-06 08:05:25,Theft,GAR020,Chennai
CLM0045,POL154,CUST188,11,339516.89999999997,207358.3460169035,2024-03-31 23:31:10,2024-04-06 23:31:10,Minor Accident,GAR047,Madurai
CLM0046,POL362,CUST622,5,476698.5,238829.68341132524,2024-05-05 19:35:09,2024-05-08 19:35:09,Minor Accident,GAR048,Coimbatore
CLM0047,POL139,CUST602,0,412750.0,276360.9238770111,2024-06-23 16:43:16,2024-06-24 16:43:16,Minor Accident,GAR048,Coimbatore
CLM0048,POL233,CUST485,0,888276.0,287598.04463077994,2023-12-25 05:27:02,2023-12-27 05:27:02,Theft,GAR016,Bangalore
CLM0049,POL396,CUST538,13,339963.75,334430.84015361295,2024-08-22 22:16:04,2024-08-31 22:16:04,Self Accident,GAR050,Madurai
CLM0050,POL069,CUST497,0,747616.0,374404.6852673832,2023-01-29 07:39:24,2023-02-04 07:39:24,Flood Damage,GAR042,Bangalore
CLM0051,POL046,CUST385,5,495222.75,156724.50463651007,2023-09-26 01:35:41,2023-09-26 01:35:41,Theft,GAR022,Chennai
CLM0052,POL129,CUST019,2,501606.0,389213.8007715296,2024-08-17 08:51:09,2024-08-20 08:51:09,Minor Accident,GAR008,Bangalore
CLM0053,POL208,CUST792,4,523551.2,206108.2986020467,2024-07-07 14:10:10,2024-07-10 14:10:10,Minor Accident,GAR005,Coimbatore
CLM0054,POL062,CUST219,1,532700.15,351288.48121875175,2024-07-28 20:40:26,2024-07-28 20:40:26,Minor Accident,GAR015,Chennai
CLM0055,POL115,CUST720,2,633074.4,238628.05319794235,2024-04-04 22:23:44,2024-04-08 22:23:44,Minor Accident,GAR024,Bangalore
CLM0056,POL297,CUST786,6,293273.39999999997,211673.30250672615,2023-08-16 10:19:14,2023-08-19 10:19:14,Minor Accident,GAR049,Chennai
CLM0057,POL323,CUST737,12,354395.5999999999,154532.74986903052,2023-07-14 09:39:50,2023-07-15 09:39:50,Major Accident,GAR017,Coimbatore
CLM0058,POL322,CUST348,8,518511.0,175845.554180089,2023-09-25 09:39:54,2023-09-30 09:39:54,Flood Damage,GAR016,Bangalore
CLM0059,POL001,CUST595,5,287796.75,213171.06459599093,2024-04-21 02:12:00,2024-04-23 02:12:00,Minor Accident,GAR028,Chennai
CLM0060,POL315,CUST078,7,451030.44999999995,231749.71567220055,2023-10-14 11:08:12,2023-10-15 11:08:12,Theft,GAR025,Bangalore
CLM0061,POL174,CUST626,2,809703.9,807854.1703182195,2023-03-12 13:50:18,2023-03-21 13:50:18,Flood Damage,GAR007,Chennai
CLM0062,POL116,CUST016,9,304395.30000000005,220741.16523111114,2024-08-25 07:52:03,2024-08-25 07:52:03,Flood Damage,GAR037,Bangalore
CLM0063,POL080,CUST541,3,402761.45,328269.69890968147,2023-08-27 10:08:35,2023-08-30 10:08:35,Fire,GAR029,Madurai
CLM0064,POL360,CUST490,6,337080.8,255852.61157883506,2024-09-08 00:35:27,2024-09-15 00:35:27,Theft,GAR028,Chennai
CLM0065,POL138,CUST416,11,167900.4,69885.0836752235,2023-03-13 09:15:42,2023-03-17 09:15:42,Minor Accident,GAR012,Madurai
CLM0066,POL149,CUST536,8,291636.0,223966.47179887595,2023-01-31 18:11:33,2023-02-02 18:11:33,Minor Accident,GAR005,Coimbatore
CLM0067,POL177,CUST348,5,374023.5,120416.57043273983,2023-10-24 20:33:45,2023-10-28 20:33:45,Flood Damage,GAR008,Bangalore
CLM0068,POL072,CUST009,4,577224.8,464419.040377345,2024-01-10 11:33:08,2024-01-14 11:33:08,Minor Accident,GAR026,Bangalore
CLM0069,POL257,CUST385,7,554448.0499999999,302532.07755488326,2024-03-29 00:52:41,2024-04-06 00:52:41,Major Accident,GAR038,Madurai
CLM0070,POL221,CUST466,9,310026.75,174678.24241726115,2023-01-10 05:51:36,2023-01-19 05:51:36,Minor Accident,GAR020,Chennai
CLM0071,POL362,CUST291,13,339179.05,332557.41957975476,2024-03-26 01:51:10,2024-03-27 01:51:10,Fire,GAR045,Madurai
CLM0072,POL263,CUST626,12,287633.19999999995,178091.79394067277,2023-12-11 23:00:04,2023-12-13 23:00:04,Major Accident,GAR042,Bangalore
CLM0073,POL316,CUST420,3,845060.65,312195.09287057514,2023-01-07 01:50:40,2023-01-12 01:50:40,Minor Accident,GAR019,Madurai
CLM0074,POL075,CUST122,13,136470.25,47305.805779146314,2024-08-01 08:47:47,2024-08-02 08:47:47,Minor Accident,GAR026,Bangalore
CLM0075,POL099,CUST345,1,920109.2,741952.154038311,2024-08-04 00:35:33,2024-08-12 00:35:33,Flood Damage,GAR038,Madurai
CLM0076,POL024,CUST502,1,682544.6,670562.7656095444,2023-02-03 18:15:22,2023-02-09 18:15:22,Major Accident,GAR012,Madurai
CLM0077,POL242,CUST603,1,847383.85,652936.9794674626,2024-01-01 09:11:22,2024-01-01 09:11:22,Theft,GAR005,Coimbatore
CLM0078,POL047,CUST242,14,107081.39999999998,79474.41817344633,2023-06-23 20:12:32,2023-06-30 20:12:32,Major Accident,GAR021,Chennai
CLM0079,POL106,CUST096,7,628516.8499999999,628383.8158130533,2023-11-22 04:54:04,2023-12-01 04:54:04,Major Accident,GAR017,Coimbatore
CLM0080,POL215,CUST491,3,519526.8,411847.97607276356,2023-04-30 16:22:22,2023-05-05 16:22:22,Fire,GAR023,Bangalore
CLM0081,POL059,CUST369,0,458903.0,227275.13188964504,2024-04-09 02:34:08,2024-04-15 02:34:08,Flood Damage,GAR028,Chennai
CLM0082,POL216,CUST179,1,577159.2,561705.538042613,2023-05-18 17:25:37,2023-05-22 17:25:37,Fire,GAR003,Chennai
CLM0083,POL282,CUST791,6,641484.2,554220.6495216424,2024-04-22 03:50:15,2024-04-23 03:50:15,Major Accident,GAR013,Chennai
CLM0084,POL370,CUST599,2,596412.0,294800.75972014526,2023-08-19 05:38:27,2023-08-28 05:38:27,Major Accident,GAR022,Chennai
CLM0085,POL335,CUST213,6,685839.7,235802.80644005834,2024-09-11 14:56:25,2024-09-20 14:56:25,Major Accident,GAR041,Madurai
CLM0086,POL340,CUST093,8,442729.8,405394.0464494801,2024-05-28 07:28:26,2024-06-05 07:28:26,Theft,GAR001,Coimbatore
CLM0087,POL381,CUST310,0,391517.0,118064.0222813201,2024-04-04 21:58:41,2024-04-12 21:58:41,Minor Accident,GAR030,Madurai
CLM0088,POL006,CUST059,14,246998.99999999994,158491.52754981356,2023-11-20 16:27:15,2023-11-27 16:27:15,Major Accident,GAR016,Bangalore
CLM0089,POL130,CUST428,13,149949.44999999998,117784.9550416117,2024-09-28 02:34:18,2024-10-06 02:34:18,Major Accident,GAR034,Chennai
CLM0090,POL098,CUST058,8,331940.39999999997,304042.4338910794,2024-04-10 09:09:22,2024-04-18 09:09:22,Major Accident,GAR050,Madurai
CLM0091,POL200,CUST248,14,280532.69999999995,186561.89888513295,2023-04-10 04:13:38,2023-04-19 04:13:38,Minor Accident,GAR050,Madurai
CLM0092,POL116,CUST430,12,378491.5999999999,203067.0936680839,2024-04-04 04:58:25,2024-04-13 04:58:25,Minor Accident,GAR036,Bangalore
CLM0093,POL245,CUST190,6,372838.89999999997,345837.41813976195,2024-09-09 15:41:29,2024-09-13 15:41:29,Theft,GAR015,Chennai
CLM0094,POL218,CUST129,3,792298.6,249831.93609137263,2023-02-01 17:40:45,2023-02-05 17:40:45,Flood Damage,GAR005,Coimbatore
CLM0095,POL333,CUST351,2,587718.0,195313.95772882432,2023-01-13 08:35:04,2023-01-20 08:35:04,Fire,GAR019,Madurai
CLM0096,POL292,CUST436,11,377094.14999999997,151561.8924569796,2024-04-27 05:06:09,2024-04-27 05:06:09,Major Accident,GAR043,Bangalore
CLM0097,POL086,CUST001,0,406279.0,223703.9833614513,2024-05-31 16:19:29,2024-06-02 16:19:29,Fire,GAR029,Madurai
CLM0098,POL108,CUST544,5,434256.0,308428.8022279173,2023-11-26 23:21:21,2023-12-02 23:21:21,Major Accident,GAR006,Bangalore
CLM0099,POL079,CUST596,0,348421.0,223822.78982860703,2024-02-27 00:32:35,2024-03-01 00:32:35,Major Accident,GAR040,Coimbatore
CLM0100,POL209,CUST032,5,494121.75,253151.8145156701,2023-03-01 07:08:12,2023-03-07 07:08:12,Self Accident,GAR017,Coimbatore
CLM0101,POL130,CUST357,11,167783.4,145187.7860171877,2023-03-13 03:03:51,2023-03-21 03:03:51,Fire,GAR011,Bangalore
CLM0102,POL309,CUST598,2,691615.8,381878.566850196,2023-07-09 15:47:01,2023-07-10 15:47:01,Fire,GAR025,Bangalore
CLM0103,POL085,CUST731,13,196946.05,173581.13771395708,2023-08-06 08:48:00,2023-08-09 08:48:00,Theft,GAR007,Chennai
CLM0104,POL386,CUST699,7,597675.6499999999,377665.77561352495,2023-01-22 07:13:10,2023-01-24 07:13:10,Minor Accident,GAR048,Coimbatore
CLM0105,POL208,CUST262,9,311933.05000000005,306348.3459903477,2024-10-20 22:53:47,2024-10-25 22:53:47,Flood Damage,GAR003,Chennai
CLM0106,POL398,CUST193,5,396036.75,226884.8666245869,2023-04-09 01:10:07,2023-04-18 01:10:07,Fire,GAR010,Coimbatore
CLM0107,POL389,CUST038,4,612063.2000000001,524389.3408432243,2024-07-28 11:37:54,2024-08-03 11:37:54,Minor Accident,GAR040,Coimbatore
CLM0108,POL140,CUST094,7,314410.85,270952.01743773615,2024-05-23 06:03:04,2024-05-25 06:03:04,Minor Accident,GAR021,Chennai
CLM0109,POL035,CUST263,8,492827.39999999997,298213.56418655446,2024-11-23 00:53:08,2024-11-30 00:53:08,Minor Accident,GAR041,Madurai
CLM0110,POL087,CUST709,14,211277.69999999995,164235.14669587338,2023-11-24 10:28:26,2023-11-24 10:28:26,Theft,GAR037,Bangalore
CLM0111,POL101,CUST353,12,237902.79999999996,212038.23278408797,2024-12-01 07:06:21,2024-12-01 07:06:21,Theft,GAR027,Coimbatore
CLM0112,POL186,CUST656,11,281938.94999999995,205423.18395436075,2023-04-05 04:13:51,2023-04-13 04:13:51,Self Accident,GAR040,Coimbatore
CLM0113,POL202,CUST690,1,750453.45,627271.3771286188,2024-11-22 05:17:34,2024-11-22 05:17:34,Flood Damage,GAR015,Chennai
CLM0114,POL055,CUST208,3,655061.85,389804.9127897206,2023-12-30 13:10:08,2023-12-30 13:10:08,Flood Damage,GAR009,Chennai
CLM0115,POL133,CUST282,3,635335.0499999999,312009.80987393286,2023-11-19 02:44:17,2023-11-21 02:44:17,Self Accident,GAR028,Chennai
CLM0116,POL055,CUST482,10,487190.5,394486.5607037751,2023-08-04 01:37:38,2023-08-04 01:37:38,Theft,GAR036,Bangalore
CLM0117,POL349,CUST626,0,524446.0,193055.07128561076,2024-06-09 04:00:12,2024-06-14 04:00:12,Flood Damage,GAR038,Madurai
CLM0118,POL072,CUST623,14,186383.09999999995,104528.71006118372,2024-08-12 16:04:48,2024-08-16 16:04:48,Flood Damage,GAR032,Bangalore
CLM0119,POL094,CUST657,1,868886.1499999999,752404.0362561877,2024-02-17 16:11:56,2024-02-17 16:11:56,Minor Accident,GAR009,Chennai
CLM0120,POL194,CUST228,8,290097.0,173174.08832101573,2023-03-30 03:30:10,2023-03-30 03:30:10,Major Accident,GAR006,Bangalore
CLM0121,POL397,CUST756,13,341871.25,189147.20665551728,2023-04-04 08:55:04,2023-04-07 08:55:04,Minor Accident,GAR049,Chennai
CLM0122,POL362,CUST629,2,787367.7000000001,745024.5651672895,2024-03-03 11:26:50,2024-03-10 11:26:50,Major Accident,GAR009,Chennai
CLM0123,POL063,CUST347,4,521760.0,511042.3859120258,2024-06-30 20:19:41,2024-07-01 20:19:41,Minor Accident,GAR038,Madurai
CLM0124,POL238,CUST067,11,330619.49999999994,117944.8504650503,2023-04-20 15:09:57,2023-04-26 15:09:57,Theft,GAR020,Chennai
CLM0125,POL083,CUST161,8,204349.8,187152.21372013647,2023-11-04 11:09:18,2023-11-06 11:09:18,Theft,GAR035,Coimbatore
CLM0126,POL334,CUST449,13,309204.0,258062.50036251373,2023-03-19 19:09:45,2023-03-22 19:09:45,Minor Accident,GAR028,Chennai
CLM0127,POL208,CUST481,4,722314.4,313581.4226115376,2024-03-30 02:18:05,2024-04-04 02:18:05,Theft,GAR047,Madurai
CLM0128,POL265,CUST443,12,147077.59999999998,120416.04661584568,2023-11-19 17:50:43,2023-11-27 17:50:43,Theft,GAR014,Bangalore
CLM0129,POL062,CUST305,6,492285.49999999994,346193.44857489265,2023-10-22 01:34:19,2023-10-25 01:34:19,Minor Accident,GAR002,Madurai
CLM0130,POL394,CUST651,3,603461.75,489518.2413434208,2024-08-05 15:42:56,2024-08-09 15:42:56,Flood Damage,GAR010,Coimbatore
CLM0131,POL086,CUST015,13,278831.35,124058.72705043288,2024-02-13 00:40:40,2024-02-17 00:40:40,Minor Accident,GAR001,Coimbatore
CLM0132,POL247,CUST552,8,249805.8,90914.58903221562,2023-05-28 04:22:19,2023-06-03 04:22:19,Minor Accident,GAR011,Bangalore
CLM0133,POL203,CUST189,12,148092.79999999996,63144.095989225614,2023-11-28 21:44:18,2023-12-04 21:44:18,Minor Accident,GAR046,Madurai
CLM0134,POL245,CUST716,11,352594.8,291548.0742130939,2023-01-06 22:01:03,2023-01-13 22:01:03,Fire,GAR008,Bangalore
CLM0135,POL132,CUST517,0,824314.0,363815.63317177776,2024-05-21 00:42:12,2024-05-24 00:42:12,Fire,GAR006,Bangalore
CLM0136,POL136,CUST785,11,222952.94999999998,148150.08519087787,2024-12-03 22:10:11,2024-12-06 22:10:11,Fire,GAR038,Madurai
CLM0137,POL348,CUST311,6,242215.4,145350.41646094839,2023-12-16 09:07:09,2023-12-17 09:07:09,Major Accident,GAR050,Madurai
CLM0138,POL041,CUST017,2,853939.8,669551.6404840527,2024-03-28 07:36:03,2024-04-06 07:36:03,Fire,GAR044,Chennai
CLM0139,POL004,CUST598,11,198017.99999999997,182225.22379780788,2023-06-22 14:11:18,2023-06-25 14:11:18,Minor Accident,GAR017,Coimbatore
CLM0140,POL156,CUST357,3,375528.3,291800.3867700231,2023-03-02 11:04:14,2023-03-02 11:04:14,Major Accident,GAR043,Bangalore
CLM0141,POL327,CUST574,8,320974.2,249005.90486552834,2024-12-05 08:16:11,2024-12-06 08:16:11,Fire,GAR011,Bangalore
CLM0142,POL017,CUST224,5,399534.75,232285.21081692143,2024-02-12 00:37:08,2024-02-12 00:37:08,Minor Accident,GAR019,Madurai
CLM0143,POL037,CUST684,0,677463.0,420627.17578328005,2024-07-07 14:27:52,2024-07-10 14:27:52,Major Accident,GAR048,Coimbatore
CLM0144,POL198,CUST484,6,232273.3,167846.90953912528,2024-07-11 20:09:42,2024-07-17 20:09:42,Minor Accident,GAR017,Coimbatore
CLM0145,POL129,CUST625,9,325417.95,288045.2737437137,2024-02-25 13:02:37,2024-03-01 13:02:37,Theft,GAR010,Coimbatore
CLM0146,POL324,CUST141,13,133444.85,122962.0565043031,2023-08-14 18:59:27,2023-08-16 18:59:27,Minor Accident,GAR034,Chennai
CLM0147,POL290,CUST727,0,575692.0,551974.5298597497,2023-12-11 23:54:07,2023-12-13 23:54:07,Major Accident,GAR034,Chennai
CLM0148,POL018,CUST763,6,617299.2,358568.2308541093,2024-06-22 10:32:18,2024-06-24 10:32:18,Minor Accident,GAR042,Bangalore
CLM0149,POL316,CUST524,13,317109.44999999995,137485.7584094201,2023-05-05 07:46:52,2023-05-13 07:46:52,Major Accident,GAR002,Madurai
CLM0150,POL240,CUST200,13,154821.44999999998,97828.12488320266,2023-12-15 20:11:32,2023-12-15 20:11:32,Minor Accident,GAR025,Bangalore
CLM0151,POL313,CUST255,12,318005.99999999994,155659.34290609497,2023-03-08 16:03:30,2023-03-17 16:03:30,Major Accident,GAR023,Bangalore
CLM0152,POL053,CUST779,5,296959.5,281892.4438565799,2024-07-28 22:17:56,2024-08-02 22:17:56,Minor Accident,GAR023,Bangalore
CLM0153,POL389,CUST196,13,114311.4,96198.87123179152,2023-10-08 23:15:26,2023-10-15 23:15:26,Major Accident,GAR049,Chennai
CLM0154,POL320,CUST196,3,846504.7999999999,445195.8839727905,2024-09-08 07:27:26,2024-09-09 07:27:26,Minor Accident,GAR033,Bangalore
CLM0155,POL205,CUST200,0,847476.0,402060.744016494,2023-05-11 17:39:58,2023-05-11 17:39:58,Major Accident,GAR023,Bangalore
CLM0156,POL333,CUST407,13,207095.34999999998,199598.058677057,2024-03-09 14:26:06,2024-03-12 14:26:06,Minor Accident,GAR007,Chennai
CLM0157,POL393,CUST617,0,366635.0,278681.7288187844,2024-02-29 06:08:07,2024-02-29 06:08:07,Major Accident,GAR043,Bangalore
CLM0158,POL140,CUST327,4,781427.2000000001,609007.1856028237,2024-08-20 02:46:49,2024-08-24 02:46:49,Major Accident,GAR037,Bangalore
CLM0159,POL283,CUST054,1,294189.35,92756.04281776314,2023-08-16 22:37:02,2023-08-23 22:37:02,Theft,GAR017,Coimbatore
CLM0160,POL128,CUST266,4,779055.2000000001,643011.8084163236,2023-03-12 01:16:45,2023-03-21 01:16:45,Major Accident,GAR014,Bangalore
CLM0161,POL080,CUST046,3,822307.85,611094.3914134033,2024-10-07 21:24:53,2024-10-15 21:24:53,Major Accident,GAR037,Bangalore
CLM0162,POL318,CUST543,11,150811.65,65793.98338304416,2023-08-19 05:16:31,2023-08-19 05:16:31,Major Accident,GAR008,Bangalore
CLM0163,POL193,CUST047,1,824163.0,787999.4190977291,2024-08-11 12:53:48,2024-08-16 12:53:48,Flood Damage,GAR012,Madurai
CLM0164,POL107,CUST688,2,697604.4,227205.84171487612,2024-01-15 03:17:45,2024-01-16 03:17:45,Flood Damage,GAR048,Coimbatore
CLM0165,POL040,CUST425,1,923261.2999999999,524765.0399924762,2023-04-23 15:17:48,2023-04-23 15:17:48,Minor Accident,GAR030,Madurai
CLM0166,POL175,CUST726,0,586975.0,487350.5013590047,2023-09-16 03:20:54,2023-09-21 03:20:54,Minor Accident,GAR045,Madurai
CLM0167,POL050,CUST674,9,431322.10000000003,201104.24409915888,2024-04-05 06:29:16,2024-04-14 06:29:16,Minor Accident,GAR018,Chennai
CLM0168,POL301,CUST236,7,533854.7499999999,387481.5640352592,2024-07-09 21:57:55,2024-07-09 21:57:55,Minor Accident,GAR023,Bangalore
CLM0169,POL327,CUST353,5,342225.75,296847.2192050233,2023-11-06 07:19:23,2023-11-10 07:19:23,Self Accident,GAR012,Madurai
CLM0170,POL240,CUST119,7,553812.35,418647.1264655224,2024-02-11 09:59:18,2024-02-11 09:59:18,Minor Accident,GAR042,Bangalore
CLM0171,POL057,CUST361,0,769488.0,443944.98671917315,2024-09-15 07:05:35,2024-09-19 07:05:35,Minor Accident,GAR003,Chennai
CLM0172,POL158,CUST166,8,278796.6,276985.31459668727,2023-11-17 12:27:04,2023-11-18 12:27:04,Self Accident,GAR040,Coimbatore
CLM0173,POL353,CUST050,0,963518.0,926202.9837254509,2023-06-12 12:23:41,2023-06-14 12:23:41,Major Accident,GAR046,Madurai
CLM0174,POL243,CUST556,9,349237.35000000003,344955.36071731563,2024-01-22 20:35:45,2024-01-31 20:35:45,Minor Accident,GAR027,Coimbatore
CLM0175,POL314,CUST245,11,173703.59999999998,167604.00368605493,2023-11-10 09:29:40,2023-11-17 09:29:40,Fire,GAR004,Madurai
CLM0176,POL372,CUST288,5,643199.25,394668.4397517198,2024-06-02 14:55:30,2024-06-10 14:55:30,Minor Accident,GAR030,Madurai
CLM0177,POL153,CUST061,7,556633.35,365590.62098653795,2023-03-22 14:52:13,2023-03-26 14:52:13,Major Accident,GAR019,Madurai
CLM0178,POL172,CUST035,13,318890.94999999995,250232.6164390573,2023-09-09 16:00:04,2023-09-18 16:00:04,Major Accident,GAR029,Madurai
CLM0179,POL060,CUST241,11,432727.19999999995,149119.4622712206,2023-09-07 12:39:16,2023-09-16 12:39:16,Major Accident,GAR006,Bangalore
CLM0180,POL056,CUST571,11,309890.24999999994,128807.23993262187,2024-08-08 07:47:12,2024-08-09 07:47:12,Fire,GAR027,Coimbatore
CLM0181,POL198,CUST046,5,318496.5,109526.085374581,2024-05-22 07:30:50,2024-05-28 07:30:50,Theft,GAR016,Bangalore
CLM0182,POL042,CUST789,11,147139.19999999998,53374.689508906675,2023-10-08 06:30:56,2023-10-14 06:30:56,Fire,GAR044,Chennai
CLM0183,POL242,CUST015,11,176316.74999999997,149989.1831086056,2023-07-02 04:51:27,2023-07-08 04:51:27,Minor Accident,GAR049,Chennai
CLM0184,POL091,CUST244,2,657353.7000000001,239585.0731221824,2024-05-16 21:46:42,2024-05-20 21:46:42,Minor Accident,GAR044,Chennai
CLM0185,POL265,CUST531,0,555914.0,278545.47536324424,2023-10-16 06:27:32,2023-10-22 06:27:32,Major Accident,GAR026,Bangalore
CLM0186,POL118,CUST416,5,351667.5,346793.31580753933,2023-08-06 17:57:17,2023-08-15 17:57:17,Major Accident,GAR027,Coimbatore
CLM0187,POL129,CUST343,2,718242.3,371451.4408877127,2024-04-11 23:36:22,2024-04-18 23:36:22,Minor Accident,GAR012,Madurai
